,ObjectID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POP2000,POP00_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS07,AVG_SIZE07,CROP_ACR07,AVG_SALE07,SQMI,geometry
0,1008,Norton,Kansas,20,137,20137,5953,6.8,5671,6.4,5358,165,13,30,1,240,34,70,3170,2501,282,305,308,332,300,722,711,962,692,510,338,209,43.3,40.6,46.7,2163,2.24,339,378,384,724,52,118,1353,2.83,2542,379,1602,561,388.0,1369.0,301450.0,271.79,881.41,"POLYGON ((-100.1639096030872 39.55914300405648, -100.1793979229932 39.56066500673506, -100.1809106527488 40.00047871132981, -99.62785937902335 40.0029878399798, -99.62504486556089 39.55948232051477, -100.1639096030872 39.55914300405648))"
1,1009,Phillips,Kansas,20,147,20147,6001,6.7,5642,6.3,5472,23,23,41,0,121,24,59,2794,2848,349,379,395,350,209,555,564,840,861,548,391,201,45.2,43.8,46.4,2432,2.29,351,397,461,893,77,103,1617,2.84,3049,617,1848,584,507.0,976.0,240106.0,149.45,894.81,"POLYGON ((-99.62504486556089 39.55948232051477, -99.62785937902335 40.0029878399798, -99.17820104199068 39.99957706202345, -99.06474698377924 39.99833796120423, -99.06217828048389 39.56156826196663, -99.60181230799581 39.55777351246999, -99.62504486556089 39.55948232051477))"
2,1010,Rawlins,Kansas,20,153,20153,2966,2.8,2519,2.4,2449,8,5,5,0,80,30,22,1255,1264,130,113,134,143,86,220,207,387,427,306,246,120,51.3,50.4,52.4,1176,2.11,204,217,166,442,24,38,715,2.71,1458,282,879,297,339.0,1742.0,329714.0,226.43,1069.75,"POLYGON ((-100.7378453126822 39.56622321753807, -101.3852828728043 39.565317993753, -101.4067601022972 39.56714880031065, -101.4073933548752 40.00100369346544, -101.3221486164933 40.00182105759963, -100.754855894287 40.00019829606435, -100.735049448674 39.99917231706335, -100.7378453126822 39.56622321753807))"
3,1011,Cheyenne,Kansas,20,023,20023,3165,3.1,2726,2.7,2664,2,6,19,0,142,16,19,1375,1351,140,159,162,166,73,238,258,417,396,279,284,154,50.0,47.4,51.6,1260,2.12,220,239,223,444,26,46,773,2.75,1518,258,971,289,422.0,1367.0,346766.0,196.24,1020.88,"POLYGON ((-102.0488015982597 39.56280352928694, -102.0494425178356 39.56869333774638, -102.0515356082449 39.99891827005396, -101.4073933548752 40.00100369346544, -101.4067601022972 39.56714880031065, -102.0488015982597 39.56280352928694))"
4,1012,Decatur,Kansas,20,039,20039,3472,3.9,2961,3.3,2883,17,13,7,0,30,13,28,1483,1478,150,157,155,139,97,238,260,481,476,329,323,156,51.3,50.0,52.8,1378,2.09,252,246,199,521,19,47,841,2.68,1818,440,1067,311,303.0,1595.0,283707.0,459.1,894.19,"POLYGON ((-100.7378453126822 39.56622321753807, -100.735049448674 39.99917231706335, -100.1911116451739 40.00058553125912, -100.1809106527488 40.00047871132981, -100.1793979229932 39.56066500673506, -100.717573511383 39.56473929082848, -100.7378453126822 39.56622321753807))"
5,1013,Republic,Kansas,20,157,20157,5835,8.1,4980,6.9,4879,25,12,15,0,53,16,33,2447,2533,253,256,259,267,169,404,446,808,771,556,506,285,50.6,49.6,51.7,2274,2.14,353,392,371,906,31,87,1465,2.69,2877,603,1776,498,682.0,596.0,282884.0,217.09,720.37,"POLYGON ((-97.92781222617839 39.64815804042846, -97.92958869029866 39.99845286256369, -97.81658931614133 39.99972921048727, -97.36191184114 39.99738020812316, -97.36093802880671 39.6497426741907, -97.92781222617839 39.64815804042846))"
6,1014,Doniphan,Kansas,20,043,20043,8249,20.7,7945,20.0,7396,243,82,16,0,165,28,180,4006,3939,453,466,523,774,539,797,952,1127,1028,637,434,215,39.6,37.8,41.3,3136,2.4,449,460,635,1021,86,194,2081,2.93,3576,440,2310,826,573.0,432.0,180578.0,130.81,398.19,"POLYGON ((-95.32991150075379 39.64778085521733, -95.32970133176582 39.99259501719659, -95.30869722856508 39.99940755920642, -95.24096153025535 39.94210581608722, -95.20759760489408 39.93817627247998, -95.19396340336347 39.91018007446873, -95.1505514111014 39.90805465833881, -95.10072255608272 39.86986497948809, -95.06324627065904 39.86653796866351, -95.03350650409254 39.87784430387811, -95.02177252653242 39.89697869568758, -94.96502373973014 39.90082353969035, -94.93824374515269 39.89608181235285, -94.93651115905381 39.84938606563914, -94.92387625744388 39.83313161579394, -94.89832458844545 39.82833274860095, -94.88850513277069 39.81739986870663, -94.89932362934593 39.79377541358323, -94.93326765634079 39.78277373792454, -94.93511390050219 39.77542663003178, -94.92180000334739 39.75784086817715, -94.87706757792419 39.76067921149776, -94.87118502203028 39.75411797088321, -94.87786074957197 39.73930553827971, -94.9056781200391 39.72675518086213, -94.93085581567685 39.72702590877221, -94.95314212065762 39.73650143742917, -94.96178640169781 39.73203820860768, -94.97857059965027 39.68498807046019, -95.02829206489521 39.66191346341135, -95.05601717236812 39.62568974785715, -95.09572900930954 39.62191758492171, -95.11926669266687 39.6467477272589, -95.32991150075379 39.64778085521733))"
7,1016,Smith,Kansas,20,183,20183,4536,5.1,3853,4.3,3733,10,11,7,4,57,27,61,1889,1964,189,210,218,232,125,319,334,642,566,417,384,217,49.6,48.8,50.6,1748,2.17,248,316,283,702,46,58,1138,2.7,2232,484,1380,368,489.0,935.0,285271.0,165.32,896.6,"POLYGON ((-98.50469755417072 39.56034009179972, -99.04132627394294 39.56025223214884, -99.06217828048389 39.56156826196663, -99.06474698377924 39.99833796120423, -98.72063233174447 39.99846130662212, -98.50447914834047 39.99712968378846, -98.50469755417072 39.56034009179972))"
8,1017,Jewell,Kansas,20,089,20089,3791,4.1,3077,3.4,2994,5,20,6,0,63,13,39,1574,1503,149,147,163,150,115,230,261,462,537,407,340,116,52.3,50.7,53.7,1450,2.1,259,239,216,567,20,47,903,2.68,2032,582,1152,298,525.0,898.0,290760.0,192.83,914.5,"POLYGON ((-97.92981838940952 39.55930074735656, -98.48684401723627 39.55900494629138, -98.50469755417072 39.56034009179972, -98.50447914834047 39.99712968378846, -98.26416575243724 39.99843478295393, -97.92958869029866 39.99845286256369, -97.92781222617839 39.64815804042846, -97.92981838940952 39.55930074735656))"
9,1018,Washington,Kansas,20,201,20201,6483,7.2,5799,6.5,5632,25,14,19,0,144,56,53,2939,2860,339,329,403,361,211,547,604,886,776,629,465,249,46.2,44.1,48.2,2474,2.3,393,401,521,908,44,73,1621,2.9,2955,481,1949,525,817.0,671.0,326005.0,185.86,898.74,"POLYGON ((-96.80144839364831 39.56280855427877, -96.9514446586484 39.56200414115443, -97.35986081561072 39.56440230555196, -97.36093802880671 39.6497426741907, -97.36191184114 39.99738020812316, -96.90828754226035 39.99615478357035, -96.80142031585895 39.9944759700644, -96.80144839364831 39.56280855427877))"
